eventId,title,chains,causedByOrgs,causedByEvents,peopleInvolved,dateStarted,dateEnded,eventType,location,narrative,references
78,Treaty of Sèvres,Post World War 1 Treaties,,"69, 63, 84",,10-Aug-1920,,armstice,,"This treaty was meant to impose punitive measures on the Ottoman empire for the damages it had caused to the Allies, particularly in Gallipoli campaing. This treaty solidified the resolutions passed during the preceding resolutions (San Remo Conference). The empire was partitioned into French Mandate of Syria and Lebanon, British Mandates of Palestine and Iraq, The Kingdom of Hejaz and territories around the Dardanelles straits and Istanbul which were placed under international control. Some of these territorial allocations around erstwhile Turkey were later shuffled as part of the Treaty of Lausanne.",http://en.wikipedia.org/wiki/Treaty_of_S%C3%A8vres
2,February Revolution,Russian Revolution,Bolsheviks,,,8-Mar-1917,,civil unrest,russia,"After the entry of Russia in the World War 1, a minor economic depression occurred. The shortages and inflation caused by the war infused widespread outcry against the Tsar Nicholas II. As a result, the worker unions (Soviets) went of large scale strikes and protests throughout the country. Oweing to the war, the Tsar's imperial army was in a state of disarray, and lacked discipline and often was on the verge of mutiny. This caused them to fail at their attempt to subdue the protesters in Petrograd. The Tsar was forced to abdicate from his throne, and the imperial legislative assembly (the Duma) took over and formed a provisional government. ","http://en.wikipedia.org/wiki/Russian_Revolution, http://en.wikipedia.org/wiki/Transjordan_memorandum"
3,Bolshevik Revolution (October Revolution),Russian Revolution,Bolsheviks,2,,7-Nov-1917,,civil unrest,russia,"While the Tsarist imperial government had been overthrown, the interim government that had been formed by the Duma was found to be very unpopular. Their decision to continue the was continued the economic strains on the worker class. The working class, who had started to ogranize into Soviets after the Revolution of 1905, had increasingly become politically active. In October the Bolsheviks' Central Committee voted to start armed insurrection against the provisional government. After quickly overthrowing the government in Petrograd, they went on to consolidate power in all other regions of Russia by February 1918.",http://en.wikipedia.org/wiki/October_Revolution
81,Treaty of Brest-Litovsk - Russia exits WW1,"World War 1, Russian Revolution",Bolsheviks,3,,3-Mar-1918,,armstice,,This was a peace treaty signed between the new Bolshevik government in Russia with the central powers. This officially ended the participation of Russia in World War 1.,http://en.wikipedia.org/wiki/Treaty_of_Brest-Litovsk
6,Independence of Jordan,Post WW2 Palestine,British,105,King Abdullah,25-May-1946,,political development,Jordan,"The UN approved the end of British mandate over Transjordan. Transjordan was declared independent, and its Emir Abdullah was redesignated King Abdullah. The name of the country was changed to Hashemite Kingdom of Jordan.",http://en.wikipedia.org/wiki/Jordan#Independence
7,First Aliyah,Aliyahs,WZO,"13, 14, 66",Baron de Rothschild,1882,1903,migration,Eastern Europe and Yemen,"The pogroms of Russia that started in 1881, and the anti-semetic legislature passed in 1882 created a very hostile environment for Jews to live in. It led to a large scale emigration of Jews from Russia, chiefly to the US. At this time, the Zionist idea of colonizing Palestine had not yet taken a strong hold in the public mind - only about 25000 people emigrated to Palestine in this wave. These migrations were helped financially by various Lovers of Zion organizations, who depended on philanthropic donations from Jewish sympathizers. Chief among these sympathizers was Baron de Rothschild, whose donations made it possible to set up agricultural settlements in Palestine.",http://en.wikipedia.org/wiki/First_Aliyah
8,Second Aliyah,Aliyahs,Lovers of Zion,"61, 10",David Ben-Gurion,1904,1914,migration,,"Life in Russia for Jews was a life of economic hardship due to years of persecution. After a fresh wave of pogroms (starting with the Kishinev Porgrom of 1903, and continuing during the failed 1903 Russian Revolution), a fresh new wave of emigration out of Russia started. The migrants moved to a large number of countries other than Palestine. Those who moved to Palestine did so mainly from idealogical motivations of Zionism rather than due to any economic advantages of that location, which were non-existent. The migrants to Palestine in thsi wave cherished the ideals of ""conquest of land"" and ""conquest of labour"", which were the early forms of Labor Zionism. The migrants in this wave established many early kibbutzim and moshavim (Jewish agrarian settlements). It was during this wave that David Ben-Gurion emigrated, and went on to be a prominent leader of Zionists, and the first Prime Minister of Israel. After the formation of the Jewish National Fund in 1905, the migrants received financial aids from the JNF to set up their kibbutzim and moshavim.","http://en.wikipedia.org/wiki/Second_Aliyah, http://en.wikipedia.org/wiki/Kibbutz, http://en.wikipedia.org/wiki/Moshav"
9,Third Aliyah,Aliyahs,,"12,1",,1919,1923,migration,,"This third wave of migration was set off by political unrest in Russia after the October Revolution, and a fresh new wave of pogroms in Eastern Russia. The British government had already expressed their implicit suport for the migration of Jews to Palestine with the Balfour Declaration. All these factors led to a mass exodus of Jews from Eastern Europe and Russia. Many of these migrants to Palestine were already part of the various Zionist groups in Europe, and carried their Zionist ideals with them to their new home.",http://en.wikipedia.org/wiki/Third_Aliyah
12,Pogroms during Russian Civil War and Ukranian War of Independence,Antisemetism in Europe,,3,,1-Nov-1917,1-Oct-1922,antisemetism,Russia,"After the October Revolution when the Bolsheviks overthrew the provisional government and siezed power in Petrograd, Russia broke out into a civil war. Many anti-Boleshevik groups grouped under the White Army and fought against the communist Bolsheviks' Red Army. The unsuing chaos and violence witnessed a wave of pogroms that were far more bloody than any wave of pogroms seen before. The antisemetic violence was mainly focused around Ukraine and southern Russia, and was chiefly perpetrated by the White Army, and other factions that were loyal to the Tsar. The Bolsheviks were secular in their ideology, and took many steps to curb such violence.","http://en.wikipedia.org/wiki/Russian_Civil_War, http://www.jewishvirtuallibrary.org/jsource/History/pogroms.html#4, http://en.wikipedia.org/wiki/Anti-Jewish_pogroms_in_the_Russian_Empire#1917-1922, http://en.wikipedia.org/wiki/Anti-Jewish_pogroms_in_the_Russian_Empire#1917-1922"
10,Ukranian pogroms of 1903 and 1905,Antisemetism in Europe,,,,1903,1906,antisemetism,,"In 1903 a fresh bloody wave of pogroms broke out in Kishinev, and subsequently spread like wild fire in 64 towns and over 600 small towns, mostly in Ukraine and south west Russia (all parts of the Pale of Settlement). After the October Manifesto was declared following the 1905 Revolution, a fresh wave again broke out mainly in present day Ukraine. There is evidence that many of the perpetrators received protections from tsarist authorities, and received support from the Tsarist secret police. These pogroms not only gave rise to massive increase in Jewish emigration from the Pale of Settlement, but also strengthened Zionist movements.","http://en.wikipedia.org/wiki/Anti-Jewish_pogroms_in_the_Russian_Empire, http://en.wikipedia.org/wiki/Revolution_of_1905, http://en.wikipedia.org/wiki/Kishinev_pogrom"
13,Russian Pogroms in 1881,Antisemetism in Europe,,67,,1-Apr-1881,1-Jul-1884,antisemetism,,"The Assasination of the reformist Tsar Alexander II sparked a long and bloody series of anti-semetic violence in Russia. While there was no evidence that the perpetrators of the assassination were Jewish, there was already widespread anti-Jewish sentiment owing to a variety of reasons. The assassination was used as an excuse to mete out violence against Jews across large areas in Russia. The violence led to large scale migration of Jews out of Russia, and also stoked many of the early Zionist movements.","http://en.wikipedia.org/wiki/Anti-Jewish_pogroms_in_the_Russian_Empire, http://www.jewishvirtuallibrary.org/jsource/Zionism/Hovevei_Zion.html"
14,"""Lovers of Zion""",Zionism,,,,1881,,org founded,,"""Lovers of Zion"" was an ideology that had surfaced during the 1860s among Christians and Jews who believed the biblical legend of the return of the Jews to Israel. Under this banner, many organizations had sprung up around 1881 to 1882. These organizations did not have any political motivations. Instead, the operated by helping the Jewish community in any way possible. After the Russian pogroms, these organizations helped large number of Jews migrate from Russia (mainly to the US, and some to erstwhile Palestine). Eventually after the formation of World Zionist Organization, the various Lovers of Zion organization merged with WZO.",http://en.wikipedia.org/wiki/Hovevei_Zion
